model	gene	annotation
iYO844	BSU36820	http://identifiers.org/interpro/IPR023632
iYO844	BSU36820	http://identifiers.org/interpro/IPR023633
iYO844	BSU36820	http://identifiers.org/subtilist/BG10820
iYO844	BSU36820	http://identifiers.org/goa/P37810
iYO844	BSU36860	http://identifiers.org/interpro/IPR000454
iYO844	BSU36860	http://identifiers.org/interpro/IPR002379
iYO844	BSU36860	http://identifiers.org/interpro/IPR005953
iYO844	BSU36860	http://identifiers.org/interpro/IPR020537
iYO844	BSU36860	http://identifiers.org/subtilist/BG10816
iYO844	BSU36860	http://identifiers.org/goa/P37815
iYO844	BSU33310	http://identifiers.org/interpro/IPR000522
iYO844	BSU33310	http://identifiers.org/interpro/IPR029022
iYO844	BSU33310	http://identifiers.org/subtilist/BG11389
iYO844	BSU33310	http://identifiers.org/goa/P49936
iYO844	BSU36870	http://identifiers.org/interpro/IPR000568
iYO844	BSU36870	http://identifiers.org/interpro/IPR023011
iYO844	BSU36870	http://identifiers.org/subtilist/BG10815
iYO844	BSU36870	http://identifiers.org/goa/P37813
iYO844	BSU36880	http://identifiers.org/interpro/IPR005598
iYO844	BSU36880	http://identifiers.org/subtilist/BG10814
iYO844	BSU36880	http://identifiers.org/goa/P37816
iYO844	BSU30820	http://identifiers.org/interpro/IPR004433
iYO844	BSU30820	http://identifiers.org/interpro/IPR011766
iYO844	BSU30820	http://identifiers.org/interpro/IPR012001
iYO844	BSU30820	http://identifiers.org/interpro/IPR029035
iYO844	BSU30820	http://identifiers.org/interpro/IPR029061
iYO844	BSU30820	http://identifiers.org/subtilist/BG10683
iYO844	BSU30820	http://identifiers.org/pdb/2X7J
iYO844	BSU30820	http://identifiers.org/goa/P23970
iYO844	BSU31060	http://identifiers.org/interpro/IPR011264
iYO844	BSU31060	http://identifiers.org/interpro/IPR015590
iYO844	BSU31060	http://identifiers.org/interpro/IPR016160
iYO844	BSU31060	http://identifiers.org/interpro/IPR016161
iYO844	BSU31060	http://identifiers.org/interpro/IPR016162
iYO844	BSU31060	http://identifiers.org/interpro/IPR016163
iYO844	BSU31060	http://identifiers.org/interpro/IPR029510
iYO844	BSU31060	http://identifiers.org/subtilist/BG11940
iYO844	BSU31060	http://identifiers.org/goa/P71016
iYO844	BSU39260	http://identifiers.org/interpro/IPR001360
iYO844	BSU39260	http://identifiers.org/interpro/IPR013781
iYO844	BSU39260	http://identifiers.org/interpro/IPR017853
iYO844	BSU39260	http://identifiers.org/interpro/IPR018120
iYO844	BSU39260	http://identifiers.org/subtilist/BG10935
iYO844	BSU39260	http://identifiers.org/goa/P40740
iYO844	BSU06310	http://identifiers.org/interpro/IPR002293
iYO844	BSU06310	http://identifiers.org/interpro/IPR004840
iYO844	BSU06310	http://identifiers.org/interpro/IPR004841
iYO844	BSU06310	http://identifiers.org/interpro/IPR011265
iYO844	BSU06310	http://identifiers.org/subtilist/BG11328
iYO844	BSU06310	http://identifiers.org/goa/P46349
iYO844	BSU07490	http://identifiers.org/interpro/IPR003439
iYO844	BSU07490	http://identifiers.org/interpro/IPR003593
iYO844	BSU07490	http://identifiers.org/interpro/IPR017871
iYO844	BSU07490	http://identifiers.org/interpro/IPR027417
iYO844	BSU07490	http://identifiers.org/subtilist/BG12957
iYO844	BSU07490	http://identifiers.org/goa/O34510
iYO844	BSU19350	http://identifiers.org/interpro/IPR002657
iYO844	BSU19350	http://identifiers.org/interpro/IPR004710
iYO844	BSU19350	http://identifiers.org/subtilist/BG13529
iYO844	BSU19350	http://identifiers.org/goa/O34524
iYO844	BSU39610	http://identifiers.org/interpro/IPR002491
iYO844	BSU39610	http://identifiers.org/subtilist/BG11878
iYO844	BSU39610	http://identifiers.org/goa/P54941
iYO844	BSU38040	http://identifiers.org/interpro/IPR001362
iYO844	BSU38040	http://identifiers.org/interpro/IPR006232
iYO844	BSU38040	http://identifiers.org/interpro/IPR013148
iYO844	BSU38040	http://identifiers.org/interpro/IPR013189
iYO844	BSU38040	http://identifiers.org/interpro/IPR013320
iYO844	BSU38040	http://identifiers.org/interpro/IPR018053
iYO844	BSU38040	http://identifiers.org/interpro/IPR023296
iYO844	BSU38040	http://identifiers.org/subtilist/BG10596
iYO844	BSU38040	http://identifiers.org/goa/P07819
iYO844	BSU39380	http://identifiers.org/interpro/IPR005923
iYO844	BSU39380	http://identifiers.org/interpro/IPR006035
iYO844	BSU39380	http://identifiers.org/interpro/IPR020855
iYO844	BSU39380	http://identifiers.org/interpro/IPR023696
iYO844	BSU39380	http://identifiers.org/subtilist/BG11099
iYO844	BSU39380	http://identifiers.org/pdb/3M1R
iYO844	BSU39380	http://identifiers.org/goa/P42068
iYO844	BSU07830	http://identifiers.org/interpro/IPR000415
iYO844	BSU07830	http://identifiers.org/interpro/IPR029479
iYO844	BSU07830	http://identifiers.org/subtilist/BG12931
iYO844	BSU07830	http://identifiers.org/goa/O34475
iYO844	BSU38110	http://identifiers.org/interpro/IPR000415
iYO844	BSU38110	http://identifiers.org/interpro/IPR016446
iYO844	BSU38110	http://identifiers.org/interpro/IPR029479
iYO844	BSU38110	http://identifiers.org/subtilist/BG10589
iYO844	BSU38110	http://identifiers.org/pdb/3N2S
iYO844	BSU38110	http://identifiers.org/goa/P39605
iYO844	BSU02090	http://identifiers.org/interpro/IPR001460
iYO844	BSU02090	http://identifiers.org/interpro/IPR002137
iYO844	BSU02090	http://identifiers.org/interpro/IPR012338
iYO844	BSU02090	http://identifiers.org/subtilist/BG11507
iYO844	BSU02090	http://identifiers.org/goa/P54427
iYO844	BSU03860	http://identifiers.org/interpro/IPR000415
iYO844	BSU03860	http://identifiers.org/interpro/IPR016446
iYO844	BSU03860	http://identifiers.org/interpro/IPR029479
iYO844	BSU03860	http://identifiers.org/subtilist/BG12040
iYO844	BSU03860	http://identifiers.org/pdb/1ZCH
iYO844	BSU03860	http://identifiers.org/goa/P94424
iYO844	BSU03040	http://identifiers.org/interpro/IPR006046
iYO844	BSU03040	http://identifiers.org/interpro/IPR006047
iYO844	BSU03040	http://identifiers.org/interpro/IPR006048
iYO844	BSU03040	http://identifiers.org/interpro/IPR013780
iYO844	BSU03040	http://identifiers.org/interpro/IPR013781
iYO844	BSU03040	http://identifiers.org/interpro/IPR015902
iYO844	BSU03040	http://identifiers.org/interpro/IPR017853
iYO844	BSU03040	http://identifiers.org/subtilist/BG10473
iYO844	BSU03040	http://identifiers.org/pdb/1BAG
iYO844	BSU03040	http://identifiers.org/pdb/1UA7
iYO844	BSU03040	http://identifiers.org/goa/P00691
iYO844	BSU18800	http://identifiers.org/interpro/IPR000871
iYO844	BSU18800	http://identifiers.org/interpro/IPR001466
iYO844	BSU18800	http://identifiers.org/interpro/IPR012338
iYO844	BSU18800	http://identifiers.org/interpro/IPR023650
iYO844	BSU18800	http://identifiers.org/subtilist/BG11016
iYO844	BSU18800	http://identifiers.org/goa/P39824
iYO844	BSU38560	http://identifiers.org/interpro/IPR001088
iYO844	BSU38560	http://identifiers.org/interpro/IPR015955
iYO844	BSU38560	http://identifiers.org/interpro/IPR016040
iYO844	BSU38560	http://identifiers.org/interpro/IPR019802
iYO844	BSU38560	http://identifiers.org/interpro/IPR022616
iYO844	BSU38560	http://identifiers.org/subtilist/BG11350
iYO844	BSU38560	http://identifiers.org/goa/P46320
iYO844	BSU06240	http://identifiers.org/interpro/IPR002085
iYO844	BSU06240	http://identifiers.org/interpro/IPR002328
iYO844	BSU06240	http://identifiers.org/interpro/IPR011032
iYO844	BSU06240	http://identifiers.org/interpro/IPR013149
iYO844	BSU06240	http://identifiers.org/interpro/IPR013154
iYO844	BSU06240	http://identifiers.org/interpro/IPR016040
iYO844	BSU06240	http://identifiers.org/subtilist/BG12803
iYO844	BSU06240	http://identifiers.org/goa/O34788
iYO844	BSU40110	http://identifiers.org/interpro/IPR001360
iYO844	BSU40110	http://identifiers.org/interpro/IPR013781
iYO844	BSU40110	http://identifiers.org/interpro/IPR017853
iYO844	BSU40110	http://identifiers.org/interpro/IPR018120
iYO844	BSU40110	http://identifiers.org/subtilist/BG11203
iYO844	BSU40110	http://identifiers.org/goa/P42973
iYO844	BSU30200	http://identifiers.org/interpro/IPR002684
iYO844	BSU30200	http://identifiers.org/interpro/IPR006638
iYO844	BSU30200	http://identifiers.org/interpro/IPR007197
iYO844	BSU30200	http://identifiers.org/interpro/IPR010722
iYO844	BSU30200	http://identifiers.org/interpro/IPR013785
iYO844	BSU30200	http://identifiers.org/interpro/IPR024177
iYO844	BSU30200	http://identifiers.org/subtilist/BG11525
iYO844	BSU30200	http://identifiers.org/goa/P53557
iYO844	BSU24070	http://identifiers.org/interpro/IPR000890
iYO844	BSU24070	http://identifiers.org/interpro/IPR011245
iYO844	BSU24070	http://identifiers.org/interpro/IPR023865
iYO844	BSU24070	http://identifiers.org/subtilist/BG11724
iYO844	BSU24070	http://identifiers.org/goa/P54532
iYO844	BSU03900	http://identifiers.org/interpro/IPR004632
iYO844	BSU03900	http://identifiers.org/interpro/IPR005814
iYO844	BSU03900	http://identifiers.org/interpro/IPR015421
iYO844	BSU03900	http://identifiers.org/interpro/IPR015422
iYO844	BSU03900	http://identifiers.org/interpro/IPR015424
iYO844	BSU03900	http://identifiers.org/subtilist/BG12043
iYO844	BSU03900	http://identifiers.org/goa/P94427
iYO844	BSU39860	http://identifiers.org/interpro/IPR012394
iYO844	BSU39860	http://identifiers.org/interpro/IPR015590
iYO844	BSU39860	http://identifiers.org/interpro/IPR016160
iYO844	BSU39860	http://identifiers.org/interpro/IPR016161
iYO844	BSU39860	http://identifiers.org/interpro/IPR016162
iYO844	BSU39860	http://identifiers.org/interpro/IPR016163
iYO844	BSU39860	http://identifiers.org/interpro/IPR029510
iYO844	BSU39860	http://identifiers.org/subtilist/BG11355
iYO844	BSU39860	http://identifiers.org/goa/P46329
iYO844	BSU38830	http://identifiers.org/interpro/IPR015590
iYO844	BSU38830	http://identifiers.org/interpro/IPR016161
iYO844	BSU38830	http://identifiers.org/interpro/IPR016162
iYO844	BSU38830	http://identifiers.org/interpro/IPR016163
iYO844	BSU38830	http://identifiers.org/interpro/IPR029510
iYO844	BSU38830	http://identifiers.org/subtilist/BG11903
iYO844	BSU38830	http://identifiers.org/pdb/4DNG
iYO844	BSU38830	http://identifiers.org/goa/P94358
iYO844	BSU19310	http://identifiers.org/interpro/IPR015590
iYO844	BSU19310	http://identifiers.org/interpro/IPR015657
iYO844	BSU19310	http://identifiers.org/interpro/IPR016161
iYO844	BSU19310	http://identifiers.org/interpro/IPR016162
iYO844	BSU19310	http://identifiers.org/interpro/IPR016163
iYO844	BSU19310	http://identifiers.org/interpro/IPR029510
iYO844	BSU19310	http://identifiers.org/subtilist/BG12582
iYO844	BSU19310	http://identifiers.org/goa/O34660
iYO844	BSU32830	http://identifiers.org/interpro/IPR002155
iYO844	BSU32830	http://identifiers.org/interpro/IPR016038
iYO844	BSU32830	http://identifiers.org/interpro/IPR016039
iYO844	BSU32830	http://identifiers.org/interpro/IPR020610
iYO844	BSU32830	http://identifiers.org/interpro/IPR020613
iYO844	BSU32830	http://identifiers.org/interpro/IPR020615
iYO844	BSU32830	http://identifiers.org/interpro/IPR020616
iYO844	BSU32830	http://identifiers.org/interpro/IPR020617
iYO844	BSU32830	http://identifiers.org/subtilist/BG14023
iYO844	BSU32830	http://identifiers.org/goa/O32177
iYO844	BSU15720	http://identifiers.org/interpro/IPR000181
iYO844	BSU15720	http://identifiers.org/interpro/IPR023635
iYO844	BSU15720	http://identifiers.org/subtilist/BG11933
iYO844	BSU15720	http://identifiers.org/goa/P94462
iYO844	BSU15730	http://identifiers.org/interpro/IPR001555
iYO844	BSU15730	http://identifiers.org/interpro/IPR002376
iYO844	BSU15730	http://identifiers.org/interpro/IPR005793
iYO844	BSU15730	http://identifiers.org/interpro/IPR005794
iYO844	BSU15730	http://identifiers.org/interpro/IPR011034
iYO844	BSU15730	http://identifiers.org/interpro/IPR015518
iYO844	BSU15730	http://identifiers.org/subtilist/BG11937
iYO844	BSU15730	http://identifiers.org/goa/P94463
iYO844	BSU16670	http://identifiers.org/interpro/IPR002606
iYO844	BSU16670	http://identifiers.org/interpro/IPR004821
iYO844	BSU16670	http://identifiers.org/interpro/IPR014729
iYO844	BSU16670	http://identifiers.org/interpro/IPR015864
iYO844	BSU16670	http://identifiers.org/interpro/IPR015865
iYO844	BSU16670	http://identifiers.org/interpro/IPR023465
iYO844	BSU16670	http://identifiers.org/interpro/IPR023468
iYO844	BSU16670	http://identifiers.org/subtilist/BG11495
iYO844	BSU16670	http://identifiers.org/goa/P54575
iYO844	BSU27200	http://identifiers.org/interpro/IPR000292
iYO844	BSU27200	http://identifiers.org/interpro/IPR023271
iYO844	BSU27200	http://identifiers.org/interpro/IPR024002
iYO844	BSU27200	http://identifiers.org/subtilist/BG12296
iYO844	BSU27200	http://identifiers.org/goa/O05399
iYO844	BSU06170	http://identifiers.org/interpro/IPR002173
iYO844	BSU06170	http://identifiers.org/interpro/IPR011611
iYO844	BSU06170	http://identifiers.org/interpro/IPR029056
iYO844	BSU06170	http://identifiers.org/subtilist/BG12796
iYO844	BSU06170	http://identifiers.org/goa/O34768
iYO844	BSU05860	http://identifiers.org/interpro/IPR000600
iYO844	BSU05860	http://identifiers.org/subtilist/BG12195
iYO844	BSU05860	http://identifiers.org/pdb/1XC3
iYO844	BSU05860	http://identifiers.org/pdb/3LM9
iYO844	BSU05860	http://identifiers.org/pdb/3OHR
iYO844	BSU05860	http://identifiers.org/goa/O05510
iYO844	BSU08850	http://identifiers.org/interpro/IPR000515
iYO844	BSU08850	http://identifiers.org/subtilist/BG10657
iYO844	BSU08850	http://identifiers.org/goa/P40401
iYO844	BSU14400	http://identifiers.org/interpro/IPR002178
iYO844	BSU14400	http://identifiers.org/interpro/IPR003352
iYO844	BSU14400	http://identifiers.org/interpro/IPR003353
iYO844	BSU14400	http://identifiers.org/interpro/IPR003501
iYO844	BSU14400	http://identifiers.org/interpro/IPR004715
iYO844	BSU14400	http://identifiers.org/interpro/IPR006327
iYO844	BSU14400	http://identifiers.org/interpro/IPR013011
iYO844	BSU14400	http://identifiers.org/interpro/IPR013014
iYO844	BSU14400	http://identifiers.org/interpro/IPR016152
iYO844	BSU14400	http://identifiers.org/subtilist/BG11938
iYO844	BSU14400	http://identifiers.org/pdb/2R4Q
iYO844	BSU14400	http://identifiers.org/goa/P71012
iYO844	BSU24170	http://identifiers.org/interpro/IPR002155
iYO844	BSU24170	http://identifiers.org/interpro/IPR016038
iYO844	BSU24170	http://identifiers.org/interpro/IPR016039
iYO844	BSU24170	http://identifiers.org/interpro/IPR020610
iYO844	BSU24170	http://identifiers.org/interpro/IPR020613
iYO844	BSU24170	http://identifiers.org/interpro/IPR020615
iYO844	BSU24170	http://identifiers.org/interpro/IPR020616
iYO844	BSU24170	http://identifiers.org/interpro/IPR020617
iYO844	BSU24170	http://identifiers.org/subtilist/BG11319
iYO844	BSU24170	http://identifiers.org/goa/P45855
iYO844	BSU24340	http://identifiers.org/interpro/IPR004549
iYO844	BSU24340	http://identifiers.org/interpro/IPR005479
iYO844	BSU24340	http://identifiers.org/interpro/IPR005481
iYO844	BSU24340	http://identifiers.org/interpro/IPR005482
iYO844	BSU24340	http://identifiers.org/interpro/IPR011054
iYO844	BSU24340	http://identifiers.org/interpro/IPR011761
iYO844	BSU24340	http://identifiers.org/interpro/IPR011764
iYO844	BSU24340	http://identifiers.org/interpro/IPR013815
iYO844	BSU24340	http://identifiers.org/interpro/IPR013816
iYO844	BSU24340	http://identifiers.org/interpro/IPR016185
iYO844	BSU24340	http://identifiers.org/subtilist/BG11384
iYO844	BSU24340	http://identifiers.org/goa/P49787
iYO844	BSU29200	http://identifiers.org/interpro/IPR001095
iYO844	BSU29200	http://identifiers.org/interpro/IPR011763
iYO844	BSU29200	http://identifiers.org/interpro/IPR029045
iYO844	BSU29200	http://identifiers.org/subtilist/BG12557
iYO844	BSU29200	http://identifiers.org/goa/O34847
iYO844	BSU22440	http://identifiers.org/interpro/IPR003142
iYO844	BSU22440	http://identifiers.org/interpro/IPR004143
iYO844	BSU22440	http://identifiers.org/interpro/IPR004408
iYO844	BSU22440	http://identifiers.org/interpro/IPR004409
iYO844	BSU22440	http://identifiers.org/interpro/IPR008988
iYO844	BSU22440	http://identifiers.org/interpro/IPR011991
iYO844	BSU22440	http://identifiers.org/interpro/IPR013196
iYO844	BSU22440	http://identifiers.org/subtilist/BG11206
iYO844	BSU22440	http://identifiers.org/goa/P0CI75
iYO844	BSU24350	http://identifiers.org/interpro/IPR000089
iYO844	BSU24350	http://identifiers.org/interpro/IPR001249
iYO844	BSU24350	http://identifiers.org/interpro/IPR001882
iYO844	BSU24350	http://identifiers.org/interpro/IPR011053
iYO844	BSU24350	http://identifiers.org/subtilist/BG11383
iYO844	BSU24350	http://identifiers.org/goa/P49786
iYO844	BSU29210	http://identifiers.org/interpro/IPR000022
iYO844	BSU29210	http://identifiers.org/interpro/IPR000438
iYO844	BSU29210	http://identifiers.org/interpro/IPR011762
iYO844	BSU29210	http://identifiers.org/interpro/IPR029045
iYO844	BSU29210	http://identifiers.org/subtilist/BG13926
iYO844	BSU29210	http://identifiers.org/goa/C0SP93
iYO844	BSU13910	http://identifiers.org/interpro/IPR000121
iYO844	BSU13910	http://identifiers.org/interpro/IPR006318
iYO844	BSU13910	http://identifiers.org/interpro/IPR008279
iYO844	BSU13910	http://identifiers.org/interpro/IPR008731
iYO844	BSU13910	http://identifiers.org/interpro/IPR015813
iYO844	BSU13910	http://identifiers.org/interpro/IPR018274
iYO844	BSU13910	http://identifiers.org/interpro/IPR023151
iYO844	BSU13910	http://identifiers.org/interpro/IPR024692
iYO844	BSU13910	http://identifiers.org/subtilist/BG10201
iYO844	BSU13910	http://identifiers.org/goa/P08838
iYO844	BSU13900	http://identifiers.org/interpro/IPR000032
iYO844	BSU13900	http://identifiers.org/interpro/IPR001020
iYO844	BSU13900	http://identifiers.org/interpro/IPR002114
iYO844	BSU13900	http://identifiers.org/subtilist/BG10200
iYO844	BSU13900	http://identifiers.org/pdb/1JEM
iYO844	BSU13900	http://identifiers.org/pdb/1KKL
iYO844	BSU13900	http://identifiers.org/pdb/1KKM
iYO844	BSU13900	http://identifiers.org/pdb/1SPH
iYO844	BSU13900	http://identifiers.org/pdb/2FEP
iYO844	BSU13900	http://identifiers.org/pdb/2HID
iYO844	BSU13900	http://identifiers.org/pdb/2HPR
iYO844	BSU13900	http://identifiers.org/pdb/3OQM
iYO844	BSU13900	http://identifiers.org/pdb/3OQN
iYO844	BSU13900	http://identifiers.org/pdb/3OQO
iYO844	BSU13900	http://identifiers.org/goa/P08877
iYO844	BSU08840	http://identifiers.org/interpro/IPR001638
iYO844	BSU08840	http://identifiers.org/interpro/IPR010067
iYO844	BSU08840	http://identifiers.org/interpro/IPR015168
iYO844	BSU08840	http://identifiers.org/subtilist/BG10656
iYO844	BSU08840	http://identifiers.org/goa/P40400
iYO844	BSU27070	http://identifiers.org/interpro/IPR004701
iYO844	BSU27070	http://identifiers.org/interpro/IPR013789
iYO844	BSU27070	http://identifiers.org/subtilist/BG10316
iYO844	BSU27070	http://identifiers.org/goa/P26379
iYO844	BSU27040	http://identifiers.org/interpro/IPR004704
iYO844	BSU27040	http://identifiers.org/interpro/IPR018405
iYO844	BSU27040	http://identifiers.org/subtilist/BG10319
iYO844	BSU27040	http://identifiers.org/goa/P26382
iYO844	BSU08830	http://identifiers.org/interpro/IPR003439
iYO844	BSU08830	http://identifiers.org/interpro/IPR003593
iYO844	BSU08830	http://identifiers.org/interpro/IPR017871
iYO844	BSU08830	http://identifiers.org/interpro/IPR017875
iYO844	BSU08830	http://identifiers.org/interpro/IPR027417
iYO844	BSU08830	http://identifiers.org/subtilist/BG12232
iYO844	BSU08830	http://identifiers.org/goa/P97027
iYO844	BSU27050	http://identifiers.org/interpro/IPR004700
iYO844	BSU27050	http://identifiers.org/interpro/IPR018404
iYO844	BSU27050	http://identifiers.org/subtilist/BG10318
iYO844	BSU27050	http://identifiers.org/goa/P26381
iYO844	BSU27060	http://identifiers.org/interpro/IPR004720
iYO844	BSU27060	http://identifiers.org/interpro/IPR018455
iYO844	BSU27060	http://identifiers.org/subtilist/BG10317
iYO844	BSU27060	http://identifiers.org/pdb/1BLE
iYO844	BSU27060	http://identifiers.org/goa/P26380
iYO844	BSU07700	http://identifiers.org/interpro/IPR001996
iYO844	BSU07700	http://identifiers.org/interpro/IPR003352
iYO844	BSU07700	http://identifiers.org/interpro/IPR010974
iYO844	BSU07700	http://identifiers.org/interpro/IPR013013
iYO844	BSU07700	http://identifiers.org/interpro/IPR018113
iYO844	BSU07700	http://identifiers.org/subtilist/BG12941
iYO844	BSU07700	http://identifiers.org/goa/O34521
iYO844	BSU15650	http://identifiers.org/interpro/IPR001757
iYO844	BSU15650	http://identifiers.org/interpro/IPR004014
iYO844	BSU15650	http://identifiers.org/interpro/IPR005782
iYO844	BSU15650	http://identifiers.org/interpro/IPR006068
iYO844	BSU15650	http://identifiers.org/interpro/IPR008250
iYO844	BSU15650	http://identifiers.org/interpro/IPR018303
iYO844	BSU15650	http://identifiers.org/interpro/IPR023214
iYO844	BSU15650	http://identifiers.org/interpro/IPR023298
iYO844	BSU15650	http://identifiers.org/interpro/IPR023299
iYO844	BSU15650	http://identifiers.org/subtilist/BG13384
iYO844	BSU15650	http://identifiers.org/goa/O34431
iYO844	BSU39050	http://identifiers.org/interpro/IPR002226
iYO844	BSU39050	http://identifiers.org/interpro/IPR010582
iYO844	BSU39050	http://identifiers.org/interpro/IPR011614
iYO844	BSU39050	http://identifiers.org/interpro/IPR018028
iYO844	BSU39050	http://identifiers.org/interpro/IPR020835
iYO844	BSU39050	http://identifiers.org/interpro/IPR024708
iYO844	BSU39050	http://identifiers.org/interpro/IPR024712
iYO844	BSU39050	http://identifiers.org/interpro/IPR029062
iYO844	BSU39050	http://identifiers.org/subtilist/BG11102
iYO844	BSU39050	http://identifiers.org/goa/P42234
iYO844	BSU13110	http://identifiers.org/interpro/IPR002376
iYO844	BSU13110	http://identifiers.org/interpro/IPR002912
iYO844	BSU13110	http://identifiers.org/interpro/IPR004810
iYO844	BSU13110	http://identifiers.org/subtilist/BG13237
iYO844	BSU13110	http://identifiers.org/goa/O34990
iYO844	BSU08820	http://identifiers.org/interpro/IPR002226
iYO844	BSU08820	http://identifiers.org/interpro/IPR010582
iYO844	BSU08820	http://identifiers.org/interpro/IPR011614
iYO844	BSU08820	http://identifiers.org/interpro/IPR018028
iYO844	BSU08820	http://identifiers.org/interpro/IPR020835
iYO844	BSU08820	http://identifiers.org/interpro/IPR024708
iYO844	BSU08820	http://identifiers.org/interpro/IPR024711
iYO844	BSU08820	http://identifiers.org/subtilist/BG10849
iYO844	BSU08820	http://identifiers.org/goa/P26901
iYO844	BSU38630	http://identifiers.org/interpro/IPR002226
iYO844	BSU38630	http://identifiers.org/interpro/IPR010582
iYO844	BSU38630	http://identifiers.org/interpro/IPR011614
iYO844	BSU38630	http://identifiers.org/interpro/IPR018028
iYO844	BSU38630	http://identifiers.org/interpro/IPR020835
iYO844	BSU38630	http://identifiers.org/interpro/IPR024708
iYO844	BSU38630	http://identifiers.org/interpro/IPR024711
iYO844	BSU38630	http://identifiers.org/subtilist/BG11945
iYO844	BSU38630	http://identifiers.org/goa/P94377
iYO844	BSU11210	http://identifiers.org/interpro/IPR001048
iYO844	BSU11210	http://identifiers.org/interpro/IPR001057
iYO844	BSU11210	http://identifiers.org/interpro/IPR004662
iYO844	BSU11210	http://identifiers.org/subtilist/BG10193
iYO844	BSU11210	http://identifiers.org/goa/P68729
iYO844	BSU11200	http://identifiers.org/interpro/IPR002813
iYO844	BSU11200	http://identifiers.org/interpro/IPR016117
iYO844	BSU11200	http://identifiers.org/subtilist/BG10192
iYO844	BSU11200	http://identifiers.org/goa/P36843
iYO844	BSU07920	http://identifiers.org/interpro/IPR004713
iYO844	BSU07920	http://identifiers.org/interpro/IPR004798
iYO844	BSU07920	http://identifiers.org/interpro/IPR004837
iYO844	BSU07920	http://identifiers.org/subtilist/BG12922
iYO844	BSU07920	http://identifiers.org/pdb/4KJR
iYO844	BSU07920	http://identifiers.org/pdb/4KJS
iYO844	BSU07920	http://identifiers.org/goa/O34840
iYO844	BSU33040	http://identifiers.org/interpro/IPR000362
iYO844	BSU33040	http://identifiers.org/interpro/IPR005677
iYO844	BSU33040	http://identifiers.org/interpro/IPR008948
iYO844	BSU33040	http://identifiers.org/interpro/IPR018951
iYO844	BSU33040	http://identifiers.org/interpro/IPR020557
iYO844	BSU33040	http://identifiers.org/interpro/IPR022761
iYO844	BSU33040	http://identifiers.org/interpro/IPR024083
iYO844	BSU33040	http://identifiers.org/subtilist/BG10384
iYO844	BSU33040	http://identifiers.org/goa/P07343
iYO844	BSU33170	http://identifiers.org/interpro/IPR000522
iYO844	BSU33170	http://identifiers.org/interpro/IPR029022
iYO844	BSU33170	http://identifiers.org/subtilist/BG14142
iYO844	BSU33170	http://identifiers.org/goa/O34451
iYO844	BSU33180	http://identifiers.org/interpro/IPR002491
iYO844	BSU33180	http://identifiers.org/subtilist/BG14143
iYO844	BSU33180	http://identifiers.org/goa/O34805
iYO844	BSU04470	http://identifiers.org/interpro/IPR001991
iYO844	BSU04470	http://identifiers.org/interpro/IPR018107
iYO844	BSU04470	http://identifiers.org/interpro/IPR023954
iYO844	BSU04470	http://identifiers.org/subtilist/BG12075
